date,total_stocks,above_3pct,above_ratio_pct,above_avg_return_pct,sector_score
2026-03-24,98,15,15.31,10.18,155.89
2026-03-25,98,17,17.35,10.62,184.25
2026-03-26,98,20,20.41,13.28,271.11
2026-03-27,98,37,37.76,10.8,407.74
2026-03-30,97,69,71.13,12.19,867.46
2026-03-31,98,47,47.96,8.84,423.99
2026-04-01,98,41,41.84,8.98,375.54
2026-04-02,98,34,34.69,9.5,329.46
2026-04-03,98,20,20.41,9.63,196.62
2026-04-07,97,20,20.62,11.09,228.68
2026-04-08,98,66,67.35,9.22,621.03
2026-04-09,98,51,52.04,8.76,455.74
2026-04-10,98,67,68.37,10.63,726.59
2026-04-13,98,74,75.51,13.04,984.51
2026-04-14,98,78,79.59,12.12,964.79
2026-04-15,98,44,44.9,9.71,435.87
2026-04-16,98,64,65.31,11.01,719.05
2026-04-17,98,61,62.24,11.28,702.27
2026-04-20,98,57,58.16,10.87,632.21
2026-04-21,98,47,47.96,10.52,504.4
2026-04-22,98,63,64.29,11.13,715.27
2026-04-23,98,34,34.69,10.36,359.51
2026-04-24,98,36,36.73,8.26,303.61
2026-04-27,98,39,39.8,8.05,320.34
2026-04-28,98,36,36.73,7.44,273.43
2026-04-29,98,29,29.59,9.17,271.35
2026-04-30,97,34,35.05,10.3,361.02
2026-05-06,99,54,54.55,8.85,482.5
2026-05-07,100,51,51.0,9.86,503.08
2026-05-08,100,53,53.0,10.93,579.46
2026-05-11,101,49,48.51,11.79,572.21
2026-05-12,100,48,48.0,10.55,506.57
